survey version standard standard_catagory shift SDSS_G SDSS_R SDSS_I SDSS_Z SDSS_g SDSS_r SDSS_i SDSS_z 
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 0 -5.068 -5.400 -5.673 -5.876 -5.068 -5.400 -5.673 -5.876
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 0 -3.934 -2.976 -2.700 -2.558 -3.934 -2.976 -2.700 -2.558
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 0 -8.424 -8.195 -8.211 -8.267 -8.424 -8.195 -8.211 -8.267
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 0 -8.145 -8.055 -8.113 -8.189 -8.145 -8.055 -8.113 -8.189
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 0 -5.254 -4.414 -4.178 -4.055 -5.254 -4.414 -4.178 -4.055
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 0 -5.703 -5.879 -6.107 -6.246 -5.703 -5.879 -6.107 -6.246
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 0 -9.292 -8.907 -8.782 -8.708 -9.292 -8.907 -8.782 -8.708
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 0 -9.000 -8.599 -8.487 -8.461 -9.000 -8.599 -8.487 -8.461
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 0 -7.695 -7.460 -7.425 -7.439 -7.695 -7.460 -7.425 -7.439
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 0 -3.355 -3.580 -3.792 -3.888 -3.355 -3.580 -3.792 -3.888
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd095849_v2.fits stis_ngsl_v2 0 -6.554 -5.568 -5.267 -5.090 -6.554 -5.568 -5.267 -5.090
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd020039_v2.fits stis_ngsl_v2 0 -9.236 -8.668 -8.475 -8.388 -9.236 -8.668 -8.475 -8.388
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd126327_v2.fits stis_ngsl_v2 0 -8.747 -6.626 -4.077 -2.275 -8.747 -6.626 -4.077 -2.275
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd030834_v2.fits stis_ngsl_v2 0 -5.515 -4.294 -3.859 -3.602 -5.515 -4.294 -3.859 -3.602
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd072324_v2.fits stis_ngsl_v2 0 -6.844 -6.054 -5.815 -5.687 -6.844 -6.054 -5.815 -5.687
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd111721_v2.fits stis_ngsl_v2 0 -8.361 -7.739 -7.508 -7.389 -8.361 -7.739 -7.508 -7.389
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd160762_v2.fits stis_ngsl_v2 0 -3.537 -3.935 -4.251 -4.504 -3.537 -3.935 -4.251 -4.504
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd124186_v2.fits stis_ngsl_v2 0 -6.785 -5.747 -5.437 -5.243 -6.785 -5.747 -5.437 -5.243
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd146233_v2.fits stis_ngsl_v2 0 -5.814 -5.377 -5.299 -5.299 -5.814 -5.377 -5.299 -5.299
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd041357_v2.fits stis_ngsl_v2 0 -5.377 -5.348 -5.445 -5.546 -5.377 -5.348 -5.445 -5.546
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd025329_v2.fits stis_ngsl_v2 0 -8.917 -8.211 -7.969 -7.855 -8.917 -8.211 -7.969 -7.855
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd072968_v2.fits stis_ngsl_v2 0 -5.590 -5.835 -6.045 -6.204 -5.590 -5.835 -6.045 -6.204
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_g115-58_v2.fits stis_ngsl_v2 0 -12.356 -12.043 -11.987 -12.024 -12.356 -12.043 -11.987 -12.024
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd004813_v2.fits stis_ngsl_v2 0 -5.378 -5.056 -5.003 -5.026 -5.378 -5.056 -5.003 -5.026
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd142926_v2.fits stis_ngsl_v2 0 -5.547 -5.859 -6.143 -6.343 -5.547 -5.859 -6.143 -6.343
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd164257_v2.fits stis_ngsl_v2 0 -6.714 -6.831 -6.982 -7.058 -6.714 -6.831 -6.982 -7.058
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd196725_v2.fits stis_ngsl_v2 0 -6.516 -5.217 -4.772 -4.496 -6.516 -5.217 -4.772 -4.496
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd030614_v2.fits stis_ngsl_v2 0 -4.189 -4.328 -4.508 -4.676 -4.189 -4.328 -4.508 -4.676
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd022484_v2.fits stis_ngsl_v2 0 -4.510 -4.154 -4.070 -4.058 -4.510 -4.154 -4.070 -4.058
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd079469_v2.fits stis_ngsl_v2 0 -3.731 -4.015 -4.270 -4.462 -3.731 -4.015 -4.270 -4.462
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_g18-39_v2.fits stis_ngsl_v2 0 -10.584 -10.267 -10.164 -10.156 -10.584 -10.267 -10.164 -10.156
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_g12-21_v2.fits stis_ngsl_v2 0 -10.408 -10.081 -10.012 -10.031 -10.408 -10.081 -10.012 -10.031
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd025893_v2.fits stis_ngsl_v2 0 -7.607 -6.967 -6.801 -6.751 -7.607 -6.967 -6.801 -6.751
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd132345_v2.fits stis_ngsl_v2 0 -6.513 -5.489 -5.186 -4.984 -6.513 -5.489 -5.186 -4.984
SDSS SDSS spectra/stis_ngsl_v2/h_stis_ngsl_hd091316_v2.fits stis_ngsl_v2 0 -3.630 -3.986 -4.270 -4.529 -3.630 -3.986 -4.270 -4.529
